Index,System Time,Channel,Direction,Frame ID,Data
365,15:20:01.640,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
366,15:20:01.657,ch1,R,0x044d,x| 40 02 00 00 00 00 00 00
367,15:20:01.657,ch1,R,0x0152,x| 80 DC 00 00 00 00 00 C0
368,15:20:01.671,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
369,15:20:01.671,ch1,R,0x0284,x| 80 0E 00 00 00 00 00 00
370,15:20:01.680,ch1,R,0x0152,x| 80 EC 00 00 00 00 00 C0
371,15:20:01.680,ch1,R,0x0282,x| FE 23 2D FE FE 00 91 00
372,15:20:01.692,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
373,15:20:01.692,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
374,15:20:01.707,ch1,R,0x0152,x| 80 FC 00 00 00 00 00 C0
375,15:20:01.707,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
376,15:20:01.723,ch1,R,0x0152,x| 80 0C 00 00 00 00 00 C0
377,15:20:01.733,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
378,15:20:01.733,ch1,R,0x0282,x| FE 33 2D FE FE 00 91 00
379,15:20:01.742,ch1,R,0x0440,x| 42 02 00 00 00 00 00 00
380,15:20:01.742,ch1,R,0x0152,x| 80 1C 00 00 00 00 00 C0
381,15:20:01.757,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
382,15:20:01.757,ch1,R,0x0152,x| 80 2C 00 00 00 00 00 C0
383,15:20:01.771,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
384,15:20:01.771,ch1,R,0x0284,x| 80 0F 00 00 00 00 00 00
385,15:20:01.786,ch1,R,0x0152,x| 80 3C 00 00 00 00 00 C0
386,15:20:01.786,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
387,15:20:01.800,ch1,R,0x0282,x| FE 43 2D FE FE 00 91 00
388,15:20:01.800,ch1,R,0x0152,x| 80 4C 00 00 00 00 00 C0
389,15:20:01.809,ch1,R,0x037a,x| 00 00 00 00 00 10 00 00
390,15:20:01.809,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
391,15:20:01.821,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
392,15:20:01.821,ch1,R,0x0152,x| 80 5C 00 00 00 00 00 C0
393,15:20:01.834,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
394,15:20:01.834,ch1,R,0x0442,x| 4D 12 00 00 00 00 00 00
395,15:20:01.851,ch1,R,0x0152,x| 80 6C 00 00 00 00 00 C0
396,15:20:01.851,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
397,15:20:01.860,ch1,R,0x0152,x| 80 7C 00 00 00 00 00 C0
398,15:20:01.860,ch1,R,0x0282,x| FE 53 2D FE FE 00 91 00
399,15:20:01.867,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
400,15:20:01.867,ch1,R,0x0374,x| 08 00 00 01 00 20 00 00
401,15:20:01.885,ch1,R,0x0284,x| 80 00 00 00 00 00 00 00
402,15:20:01.885,ch1,R,0x0152,x| 80 8C 00 00 00 00 00 C0
403,15:20:01.891,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
404,15:20:01.891,ch1,R,0x0375,x| 03 01 00 04 00 00 00 10
405,15:20:01.907,ch1,R,0x0152,x| 80 9C 00 00 00 00 00 C0
406,15:20:01.907,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
407,15:20:01.920,ch1,R,0x0282,x| FE 63 2D FE FE 00 91 00
408,15:20:01.920,ch1,R,0x0152,x| 80 AC 00 00 00 00 00 C0
409,15:20:01.934,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
410,15:20:01.934,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
411,15:20:01.938,ch1,R,0x044d,x| 40 02 00 00 00 00 00 00
412,15:20:01.938,ch1,R,0x0152,x| 80 BC 00 00 00 00 00 C0
413,15:20:01.954,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
414,15:20:01.954,ch1,R,0x0152,x| 80 CC 00 00 00 00 00 C0
415,15:20:01.970,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
416,15:20:01.970,ch1,R,0x0284,x| 80 01 00 00 00 00 00 00
417,15:20:01.980,ch1,R,0x0152,x| 80 DC 00 00 00 00 00 C0
418,15:20:01.980,ch1,R,0x0282,x| FE 73 2D FE FE 00 91 00
419,15:20:01.991,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
420,15:20:01.991,ch1,R,0x063b,x| 00 00 23 93 00 03 58 F9
421,15:20:02.008,ch1,R,0x0152,x| 80 EC 00 00 00 00 00 C0
422,15:20:02.008,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
423,15:20:02.022,ch1,R,0x0152,x| 80 FC 00 00 00 00 00 C0
424,15:20:02.030,ch1,R,0x0440,x| 42 02 00 00 00 00 00 00
425,15:20:02.030,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
426,15:20:02.030,ch1,R,0x0282,x| FE 83 2D FE FE 00 91 00
427,15:20:02.045,ch1,R,0x0152,x| 80 0C 00 00 00 00 00 C0
428,15:20:02.045,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
429,15:20:02.058,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
430,15:20:02.058,ch1,R,0x0152,x| 80 1C 00 00 00 00 00 C0
431,15:20:02.071,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
432,15:20:02.071,ch1,R,0x0284,x| 80 02 00 00 00 00 00 00
433,15:20:02.087,ch1,R,0x0152,x| 80 2C 00 00 00 00 00 C0
434,15:20:02.087,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
435,15:20:02.101,ch1,R,0x0282,x| FE 93 2D FE FE 00 91 00
436,15:20:02.101,ch1,R,0x0152,x| 80 3C 00 00 00 00 00 C0
437,15:20:02.117,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
438,15:20:02.117,ch1,R,0x0152,x| 80 4C 00 00 00 00 00 C0
439,15:20:02.130,ch1,R,0x0442,x| 4D 12 00 00 00 00 00 00
440,15:20:02.130,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
441,15:20:02.146,ch1,R,0x0152,x| 80 5C 00 00 00 00 00 C0
