Index,System Time,Channel,Direction,Frame ID,Data
68,4:13:59.496,ch1,R,0x0142,x| 84 A6 00 00 00 00 00 00
69,4:13:59.496,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
70,4:13:59.496,ch1,R,0x0018,x| 00 2A 70 0C 00 00 00 C6
71,4:13:59.496,ch1,R,0x0280,x| 03 0D 00 00 00 00 00 00
72,4:13:59.496,ch1,R,0x0140,x| 00 4B D3 42 00 00 09 21
73,4:13:59.496,ch1,R,0x0141,x| 84 26 C0 27 D0 82 A7 00
74,4:13:59.499,ch1,R,0x0142,x| 84 A6 00 00 00 00 00 00
75,4:13:59.499,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
76,4:13:59.499,ch1,R,0x00d0,x| D2 FF 00 00 00 00 00 00
77,4:13:59.499,ch1,R,0x00d1,x| 00 00 00 00
78,4:13:59.499,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
79,4:13:59.499,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 C1
80,4:13:59.499,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
81,4:13:59.500,ch1,R,0x0018,x| 00 2A 70 0E 00 00 00 C8
82,4:13:59.713,ch1,R,0x00d1,x| 00 00 00 00
83,4:13:59.713,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
84,4:13:59.713,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 C9
85,4:13:59.713,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
86,4:13:59.713,ch1,R,0x0018,x| 00 2A 70 0E 00 00 00 C8
87,4:13:59.713,ch1,R,0x0152,x| F0 9C 00 00 00 00 08 80
88,4:13:59.713,ch1,R,0x0140,x| 00 0C D2 42 00 00 08 21
89,4:13:59.713,ch1,R,0x0141,x| 84 26 C0 27 D1 82 A7 00
90,4:13:59.713,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
91,4:13:59.713,ch1,R,0x0360,x| 09 01 81 81 3D 00 01 00
92,4:13:59.713,ch1,R,0x0361,x| 00 29 00 DB 00 20 8E 3F
93,4:13:59.713,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
94,4:13:59.713,ch1,R,0x0370,x| 00 00 00 00 00 03 00 00
95,4:13:59.713,ch1,R,0x0018,x| 00 2A 70 00 00 00 00 BA
96,4:13:59.713,ch1,R,0x0280,x| 02 06 00 00 00 00 00 00
97,4:13:59.713,ch1,R,0x0140,x| 00 0D D2 42 00 00 07 21
98,4:13:59.713,ch1,R,0x0141,x| 84 26 C0 27 D1 82 A7 00
99,4:13:59.713,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
100,4:13:59.713,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
101,4:13:59.713,ch1,R,0x00d0,x| D2 FF 00 00 00 00 00 FF
102,4:13:59.713,ch1,R,0x00d1,x| 00 00 00 00
103,4:13:59.713,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
104,4:13:59.713,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 CA
105,4:13:59.713,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
106,4:13:59.713,ch1,R,0x04c3,x| 03 00 00 00 00 00 00 00
107,4:13:59.713,ch1,R,0x0018,x| 00 2A 70 02 00 00 00 BC
108,4:13:59.728,ch1,R,0x0152,x| F0 AC 00 00 00 00 08 80
109,4:13:59.728,ch1,R,0x0140,x| 00 0E D4 42 00 00 07 21
110,4:13:59.728,ch1,R,0x0141,x| 84 26 BF 27 D1 82 A7 00
111,4:13:59.728,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
112,4:13:59.728,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
113,4:13:59.728,ch1,R,0x0018,x| 00 2A 70 04 00 00 00 BE
114,4:13:59.728,ch1,R,0x0280,x| 02 07 00 00 00 00 00 00
115,4:13:59.728,ch1,R,0x0140,x| 00 0F D4 42 00 00 07 21
116,4:13:59.728,ch1,R,0x0141,x| 84 26 BF 27 D1 82 A7 00
117,4:13:59.728,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
118,4:13:59.728,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
119,4:13:59.728,ch1,R,0x00d0,x| D2 FF 00 00 00 00 00 00
120,4:13:59.728,ch1,R,0x00d1,x| 00 00 00 00
121,4:13:59.728,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
122,4:13:59.728,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 CB
123,4:13:59.728,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
124,4:13:59.728,ch1,R,0x0282,x| D2 61 FA 89 99 00 91 00
125,4:13:59.728,ch1,R,0x0018,x| 00 2A 70 06 00 00 00 C0
126,4:13:59.728,ch1,R,0x0152,x| F0 BC 00 00 00 00 08 80
127,4:13:59.728,ch1,R,0x0140,x| 00 00 D4 42 00 00 07 21
128,4:13:59.728,ch1,R,0x0141,x| 84 26 BF 27 D1 82 A7 00
129,4:13:59.728,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
130,4:13:59.728,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
131,4:13:59.728,ch1,R,0x0018,x| 00 2A 70 08 00 00 00 C2
132,4:13:59.728,ch1,R,0x0280,x| 02 08 00 00 00 00 00 00
133,4:13:59.728,ch1,R,0x0140,x| 00 01 D4 42 00 00 07 21
134,4:13:59.728,ch1,R,0x0141,x| 84 26 BF 27 D1 82 A7 00
135,4:13:59.728,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
136,4:13:59.728,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
137,4:13:59.728,ch1,R,0x0360,x| 0D 01 81 81 3D 00 01 00
138,4:13:59.728,ch1,R,0x0361,x| 00 29 00 DB 01 70 80 3F
139,4:13:59.728,ch1,R,0x00d0,x| D2 FF 00 00 00 00 01 FF
140,4:13:59.728,ch1,R,0x00d1,x| 00 00 00 00
141,4:13:59.728,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
142,4:13:59.728,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 CC
143,4:13:59.728,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
